profile_id,created_on,display_name,metadata,owned_by,handle,trust_score,cluster_label
0x9259f5b38699acdc3f94714e683f38a511450904,2025-12-01 17:06:34.933874+00:00,Daniel Aaron,"{'lens': {'id': '3b51225d-a25c-4299-a7bb-61591a27e013', 'bio': ""I'm Chxse"", 'name': 'Daniel Aaron', 'attributes': [{'key': 'soclly_data', 'type': 'JSON', 'value': '{""location"":""Nigeria"",""social_profiles"":{""twitter"":""x.com/thechxse""},""title"":"""",""website"":""Thechxse.com""}'}, {'key': 'location', 'type': 'String', 'value': 'Nigeria'}, {'key': 'website', 'type': 'String', 'value': 'Thechxse.com'}, {'key': 'twitter', 'type': 'String', 'value': 'x.com/thechxse'}, {'key': 'x', 'type': 'String', 'value': 'x.com/thechxse'}]}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0x3f592624e259e558ba5857dcfbef7faa36dd7a0e,thechxse,0.31,4
0x9eda125beff6cdb52a496fd3bbcf0933b8aa3e3e,2025-12-01 18:41:52.118000+00:00,ImagiPortal,"{'lens': {'id': 'd05e4d30-20da-4372-85d4-a593d0fbd960', 'name': 'ImagiPortal'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0x4fd8a2c1fc2ecf37b97201333d516e4e17f7ef11,,0.1,8
0xa193b5dccaf98bef65554aaf5b1f4866aa0932ef,2025-12-03 05:39:29.503208+00:00,jack234,"{'lens': {'id': 'af81de58-59cf-4e15-a97f-87556a4be471', 'name': 'jack234'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0xaad72ba84febcf7492a840f4859a083816084399,jack234,0.14,4
0x9dac3f89871a0c53dbc8716a949c3ed7a0b7adf6,2025-12-03 00:24:14.688884+00:00,Temporary Name,"{'lens': {'id': '7d00a2ec-32f1-455c-a756-a28110edc399', 'name': 'Temporary Name', 'picture': 'https://api.grove.storage/1cce4db1e50feca356b4a6fc797c3a90a3755d8ed344e9c0a79d88689e9f1f3b', 'coverPicture': 'https://api.grove.storage/ce147d96f73093c3286074c5508249f14bdf6a4d52e907f28d4ce381e5db3626'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0x11d62839c9679e6eb2b921f0f058353a9381b329,orb_cypher_853,10.86,8
0x8a97643a38a3ca826ac7f4b4c9b6e99fae333420,2025-12-04 11:47:59.226591+00:00,Temporary Name,"{'lens': {'id': '8a79df34-af6b-40c6-9bde-03b2ecb13874', 'name': 'Temporary Name', 'picture': 'https://api.grove.storage/bd334c8e7639d6b97223da7249e1f0a3d0276cb5978eac4f82e20f186273f50d', 'coverPicture': 'https://api.grove.storage/77ae647e68c9563c1afb46262096575e39f371c76911282ec4aa2ec8d366d505'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0xd9531f9a4c65a870adfd78615a03a90ffc87f086,orb_rebel_413,10.86,1
0x85fee190283fb2b21218c5c8459970e9b856e0f1,2025-12-05 05:54:14.143405+00:00,Temporary Name,"{'lens': {'id': '0da81f09-82d5-4492-9ce0-ee6256046a25', 'name': 'Temporary Name', 'picture': 'https://api.grove.storage/ca55d214f553c802592b1ac8351ade9fcd4c955f6cc64fcebd151d1aea3da3dd', 'coverPicture': 'https://api.grove.storage/77ae647e68c9563c1afb46262096575e39f371c76911282ec4aa2ec8d366d505'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0xe6b8dc0a13317db85af8f908a89a3e7c6359f24d,orb_anomaly_438,12.79,2
0x1e3e5c0483fef9371ef9aab4edc106db289300a1,2025-12-03 05:22:23.825650+00:00,iskolastiko,"{'lens': {'id': 'be3fb42b-a770-4c77-97e7-9dd772c7bf28', 'name': 'iskolastiko'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0x9d288cc7ded47b650b02dcb2a36923ccb359ee13,iskolastiko,0.13,2
0x047c83b688316d47176c62beda40bac9bf04a3fd,2025-12-05 08:26:22.486416+00:00,SilentJudge,"{'lens': {'id': 'e26569e6-1f34-44a9-b8bc-48abc6c44a7d', 'bio': 'SilentJudge', 'name': 'SilentJudge'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0xb6e2ed63a4d633643f13c4813b0af5c3680c5240,silentjudge,2.55,5
0x1aa80b4d3e6839f1e69427de9ca755a9c8729058,2025-12-04 11:47:59.232509+00:00,Temporary Name,"{'lens': {'id': 'd57bc58f-6484-4f1f-998b-3c03953bc98c', 'name': 'Temporary Name', 'picture': 'https://api.grove.storage/fba847818b5aa97471c8c27b1e570b7efebea30cce10864b6ac60b92a094b54f', 'coverPicture': 'https://api.grove.storage/f052dfca0b3d2b55686acade4dfb367f05e973b9d79b35b4df305d9e86b517e4'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0x0c232e9db4576dc3555dfab4d5e139f55c48c6b1,orb_glitch_680,10.86,8
0x15bab26d5a02daa1116ffde69c1f002085af8a5b,2025-12-06 07:27:11.078365+00:00,Temporary Name,"{'lens': {'id': '912ea58b-0abb-4785-ac81-ef9b7c370758', 'name': 'Temporary Name', 'picture': 'https://api.grove.storage/bd334c8e7639d6b97223da7249e1f0a3d0276cb5978eac4f82e20f186273f50d', 'coverPicture': 'https://api.grove.storage/b1fa2971763f98206357fc67bbed1e7b65f3a90c5e998e96bc1296a1b4a72a77'}, '$schema': 'https://json-schemas.lens.dev/account/1.0.0.json'}",0xfe45a71c46df224507a3027498d5c735d3801c4d,orb_explorer_561,14.77,17
